,Job Title,Company,Company Rating,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance
0,Information Technology Analyst (Banking - Fresh Graduates),"D L RESOURCES PTE LTD
3.3",3.3,Employer Provided Salary:$2K - $6K,Singapore,-1,2.2,2.5,2.5,2.6
1,Information Technology - Mobile Applications Developer (Android),"Singapore Airlines
3.8",3.8,$89K - $96K (Glassdoor Est.),Singapore,-1,3.5,3.3,3.1,3.6
2,IT Project Manager,CI&T(思艾特),-1,Employer Provided Salary:$6K - $8K,Remote,-1,-1,-1,-1,-1
3,Staff Analyst - Information Technology (B2B),"Infineon Technologies
4.2",4.2,-1,Singapore,3.9,-1,-1,-1,-1
4,2024 Apple Internship - Information Systems and Technology,"Apple
4.2",4.2,-1,Singapore,3.8,-1,-1,-1,-1
5,"VP, Information Technology Risk & Governance Manager",SLOANE SHOREY CONSULTING PTE. LTD.,-1,Employer Provided Salary:$13K - $15K,Singapore,-1,-1,-1,-1,-1
6,Information Technology Engineer (IBM Mainframe/AS400 Operator),"D L RESOURCES PTE LTD
3.3",3.3,Employer Provided Salary:$3K - $6K,Singapore,-1,2.2,2.5,2.5,2.6
7,Information Technology – Mobile Applications Developer (iOS),"Singapore Airlines
3.8",3.8,$89K - $96K (Glassdoor Est.),Singapore,-1,3.5,3.3,3.1,3.6
8,Associate - Senior Support Analyst (Singapore) - Information Technology,"NOMURA SINGAPORE LIMITED
3.9",3.9,Employer Provided Salary:$7K - $11K,Singapore,-1,3.6,3.8,3.3,3.8
9,Information Technology (Navitaire COE) Analyst,"SCOOT PTE. LTD.
3.4",3.4,Employer Provided Salary:$4K - $8K,Singapore,-1,3.0,3.4,3.1,2.9
10,Assistant Manager - Information Technology,"ISS INTERNATIONAL SCHOOL PTE. LTD.
3.0",3.0,Employer Provided Salary:$4K - $5K,Bukit Merah Estate,-1,2.4,2.9,3.0,3.7
11,Solution Architect,"Morgan McKinley
4.2",4.2,Employer Provided Salary:$10K - $14K,Singapore,-1,3.6,4.1,3.9,4.1
12,"Manager, Information Technology (Navitaire)","SCOOT PTE. LTD.
3.4",3.4,Employer Provided Salary:$7K - $14K,Singapore,-1,3.0,3.4,3.1,2.9
13,Full Stack Web Developer (Information Technology),"SCOOT PTE. LTD.
3.4",3.4,Employer Provided Salary:$5K - $10K,Singapore,-1,3.0,3.4,3.1,2.9
14,INFORMATION TECHNOLOGY EXECUTIVE,Sunshine Welfare Action Mission (SWAMI),-1,Employer Provided Salary:$3K - $4K,Singapore,-1,3.9,5.0,3.9,4.5
15,Associate - Lead Business Analyst (Singapore) - Information Technology,"NOMURA SINGAPORE LIMITED
3.9",3.9,Employer Provided Salary:$7K - $11K,Singapore,-1,3.6,3.8,3.3,3.8
16,IT Support,Techbro Pte Ltd,-1,Employer Provided Salary:$2K - $5K,Jurong East New Town,-1,-1,-1,-1,-1
17,IT Support Assistant,"PropertyGuru Pte Ltd
3.7",3.7,-1,Singapore,3.2,-1,-1,-1,-1
18,SERVICE DESK MANAGER,"TERRA SYSTEMS PTE. LTD.
3.1",3.1,Employer Provided Salary:$3K - $8K,Hougang New Town,-1,2.6,3.0,3.0,3.4
