,Job Title,Company,Company Rating,Job Description,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance,Company Pros Reviews,Company Cons Reviews,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue
0,Regional Security Analyst - MEA,"Pinkerton
3.5",3.5,"We are as invested in your career as you are.
As you navigate through these uncertain times, know that Pinkerton has been a stable, thriving corporation for over 170 years. As recognized leaders around the globe in the corporate risk management industry, you can rest assured that joining us now means moving to a future-looking company. We are here today, will be here tomorrow, and are a thriving community of over 2,000 risk management professionals.
This is just one of the several exciting career opportunities that are currently available.
Job Summary:
The Regional Security Analyst, assigned to a specific client, will work closely with the Global Security Operations team to assist in regional projects for tasks related to strategic security, intelligence support and drafting of high-level stakeholder communications.
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Great communication and leadership and easy to get along with"" (in 2 reviews)', '""A decent base salary for an entry level position"" (in 3 reviews)', '""The company has Great pay and Benefits, the company cares about its employees, to bad more companies are not like Pinkerton."" (in 2 reviews)', '""They have some very good clients one can work with."" (in 2 reviews)', -1]","['""Leadership is based on client recommendation"" (in 2 reviews)', '""Also, misogyny, racism and homophobia are rampant in this place, so buckle up for quite a ride if you unfortunately end up working here."" (in 1 reviews)', -1, -1, -1]",1001 to 5000 Employees,1850,Subsidiary or Business Segment,Business Consulting,Management & Consulting,Unknown / Non-Applicable
1,Cybersecurity Analyst [Singapore],Pionex Singapore,-1,"The Cybersecurity Analyst will evaluate the effectiveness of our organization’s information security practices and procedures, assessing vulnerabilities and risks in IT systems and business processes. Drawing from previous experiences in real-time security event monitoring, incident response, and the development of threat detection use cases, the ideal candidate is expected to stay current with cybersecurity threats and demonstrate proficiency in a variety of security tools and technologies.
Job Description
1. Cybersecurity Assessment:
Conduct real-time monitoring and analysis of security events from various sources.
Evaluate logs from different security devices, operating systems, databases, and web servers/applications for threat detection.
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
2,Junior Security Analyst,INSYGHTS SECURITY PTE. LTD.,-1,"Join Our Team as a Junior Security Analyst and Safeguard the Future!

Are you passionate about protecting digital landscapes from emerging threats? Do you thrive in a dynamic environment where every day presents new challenges? If so, we have an exciting opportunity for you! We're looking for a talented Junior Security Analyst to join our team.

Why Choose Us ?

Cutting-Edge Technology :- We deal with latest security tools and technologies to stay ahead of cyber threats.
Innovation :- Our commitment to innovation means you'll work on exciting projects and have the chance to influence our security strategies.









Show More
Report",Employer Provided Salary:$3K - $5K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
3,Information Security Analyst Intern,"Lubrizol Corporation
3.5",3.5,"About Lubrizol
The Lubrizol Corporation, a Berkshire Hathaway company, is committed to enabling a sustainable future. Our unmatched science unlocks immense possibilities at the molecular level, driving sustainable and measurable results to help the world Move Cleaner, Create Smarter and Live Better. Our solutions are used by people every day, improving billions of lives around the world.
We value diversity in professional backgrounds and life experiences. By enabling a consistent, unbiased, and transparent recruitment process, Lubrizol seeks to create a positive experience for candidates so we can get to know them at their best. We recognize unique work and life situations and offer flexibility, ensuring our employees feel engaged and fulfilled in every aspect of life.
Summary of Responsibilities
The Information Security Analyst Intern will be involved in the delivering of prompt and reliable security monitoring and response services, through processing daily work queues as a member of a team in a global security operation center (SOC). He/she will also be exposed to the operational and administrative support of several security tools.





Show More
Report",-1,Jurong West New Town,-1,-1,-1,-1,-1,"['""Culture and Work environment is excellent"" (in 5 reviews)', '""Excellent work life balance, good internal career growth"" (in 3 reviews)', '""Employees have access to good information about lubricants and hardware, so it is a great learning experience."" (in 3 reviews)', '""Work was challenging and co workers were great."" (in 3 reviews)', -1]","['""Culture is very passive"" (in 5 reviews)', '""Pay is not competitive with other companies in the same industry."" (in 3 reviews)', -1, -1, -1]",5001 to 10000 Employees,1928,Company - Private,Chemical Manufacturing,Manufacturing,$2 to $5 billion (USD)
4,IT Security Operations Analyst,"Singapore Pools
3.6",3.6,"We are looking for an experienced IT Security Operations Analyst to join our Infrastructure Operations team to support day-to-day operations by performing health checks and assessing risk impact for both infrastructure and applications.
The incumbent will be ensuring that security related incidents are appropriately addressed within agreed timeframe through prioritization, incident recording, recognition, escalation, resolution and follow-up.
We also recognize that each individual has a unique blend of skills. Whether your strength is in Information Security or Technical Operations, we want to talk to you.

What You'll Do



Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",501 to 1000 Employees,1968,Government,National Services & Agencies,Government & Public Administration,$100 to $500 million (USD)
5,Information Security Analyst,MSIG Asia Pte Ltd,-1,"Reporting to the Head of Compliance & Information Security, this role is responsible for protecting MSIG’s business, employee, and client data across our business units (BUs) in Asia in accordance with relevant laws and regulations, as well as group and local policies. In addition, this role will monitor the outsourcing framework and controls in the region, with the support from the Head of Compliance & Information Security as Data Protection Officer, under Singapore’s Personal Data Protection Act (PDPA) for the MSIG Asia entity.
Responsibilities
Develop and implement the annual information security action plan in collaboration with the cybersecurity team
Develop, maintain, and support a robust and effective incident reporting and tracking system, and review, monitor, and report on the corrective and improvement measures
Show More
Report",Employer Provided Salary:$4K - $6K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
6,Cyber Threat Intelligence Analyst,"Gravitas Recruitment Group
4.1",4.1,"Job details
Location
Singapore
Salary
S$7000 - S$11000 per month
Job Type
Permanent
Ref
BBBH138291_1695182283
Working Environment
Hybrid
Posted

Show More
Report",Employer Provided Salary:$7K - $11K,Singapore,4.2,3.7,4.2,4.1,3.7,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",51 to 200 Employees,2010,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
7,GSOC Junior Analyst,"Pinkerton
3.5",3.5,"We are as invested in your career as you are.
As you navigate through these uncertain times, know that Pinkerton has been a stable, thriving corporation for over 170 years. As recognized leaders around the globe in the corporate risk management industry, you can rest assured that joining us now means moving to a future-looking company. We are here today, will be here tomorrow, and are a thriving community of over 2,000 risk management professionals.
This is just one of the several exciting career opportunities that are currently available.
Job Summary:
The Global Security Operations Center (GSOC) Junior Analyst assigned to a specific client is responsible for triage, quality assurance, and intelligence and threat analysis utilizing the Crisis Response tool guaranteeing optimal business operations.
Show More
Report",$91K - $109K (Glassdoor Est.),Singapore,3.1,3.3,3.3,3.2,3.6,"['""people here is good as well as the benefits"" (in 7 reviews)', '""Work life balance and great salary"" (in 9 reviews)', '""management is very kind to employees"" (in 5 reviews)', -1, -1]","['""for outsourced or deployed employees there are not much benefits ( for example, dental )"" (in 7 reviews)', '""Limited growth, very less salary, no learning"" (in 9 reviews)', '""Do not care about the employees"" (in 5 reviews)', '""The major cons of this company is that it\'s Tool (Basically EA ) it\'s doesn\'t work properly And Didn\'t Provide WFH CEO never motivate their employees ( he never come the office floor)"" (in 3 reviews)', '""Need better management a support"" (in 2 reviews)']",1001 to 5000 Employees,1850,Subsidiary or Business Segment,Business Consulting,Management & Consulting,Unknown / Non-Applicable
8,Cyber Security Analyst,"LMA
4.6",4.6,"LMA Singapore
Posted 1 day ago Permanent S$4k - S$10k
Description
The candidate is responsible for performing monitoring and analysing cyber threats that occur within the organisation. The candidate is expected to provide accurate evaluation, escalation of cyber incidents to the management and perform containment of incidents.
The candidate will operate in a 24x7 cyber security operations centre (located in the East). Advancement opportunities will be given to candidates with exemplary performance.


Show More
Report",Employer Provided Salary:$4K - $10K,Singapore,4.2,4.5,4.7,4.7,4.8,"['""building events and social activities that help to build relationships and create a positive work environment."" (in 9 reviews)', '""As a technology company with around 100 employees, eFinancialCareers stands out for its commitment to supporting working parents and caring for its employees in general."" (in 6 reviews)', '""If you expect a clear defined career path, it may not suit you."" (in 6 reviews)', '""Great culture and team dynamics"" (in 7 reviews)', '""Good leadership and help from seniors"" (in 3 reviews)']","['""Unclear career paths and progression."" (in 6 reviews)', '""Some years of stagnation with the product and performance under previous leadership have meant that some relationships with customers are a bit fractured and less likely to engage."" (in 3 reviews)', -1, -1, -1]",51 to 200 Employees,2000,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
9,Security Operations Centre Analyst (SOC Analyst),"Tate Asia
3.5",3.5,"Security Operations Centre Analyst (SOC Analyst)

SUMMARY

Our client who is a largest pure-play cybersecurity service provider in Asia is looking to add a Security Operations Centre Analyst (SOC Analyst) to join their growing team.

KEY RESPONSIBILITIES






Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
