,Job Title,Company,Company Rating,Job Description,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance,Company Pros Reviews,Company Cons Reviews,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue
0,Instrumentation & Control Engineer,Conny Tech,-1,"Come help develop the future of software used in industrial automation. We are seeking individual with a real passion for learning that are curious and often challenge the status quo. Attitude, aptitude and integrity are central to all successful applicants. Together, we work to build our primary product, PCO.
PLC programmers are responsible for programming assembly lines, robotic devices, or other manufacturing processes using programmable logic controllers (PLC). This role is ideal for a detail-oriented, logical thinker who enjoys working with different machines in combination with computers. PLC programmers work full time but experience a moderate amount of travel and activity in the workplace, such as supervising the installation of their programs and machinery.
The daily responsibility involvement includes of the following;
Design and perform detailed designing for machine electrical control systems;

Show More
Report",Employer Provided Salary:$4K - $5K,Bedok New Town,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
1,Analyst Programmer / Systems Analyst (Digital Solutions Department) [NIE],"Nanyang Technological University
3.9",3.9,"ABOUT THE NATIONAL INSTITUTE OF EDUCATION (NIE)
The National Institute of Education (NIE), Singapore, is Singapore’s national teacher education institute and we are proud to be an integral part of the nation’s education service. We play a key role in the preparation of teachers and in the provision of teacher professional and school leadership development programmes. We are committed to our vision of being An Institute of Distinction: Leading the Future of Education and our mission to Inspire Learning, Transform Teaching and Advance Research. Read more about NIE
here
.
NIE invites suitable candidates to join the Division of Academic Computing & Information Services (ACIS) as an Analyst Programmer/Systems Analyst. This is a 2-year contract post.
The candidate should be a dynamic IT professional who is a good team player and a strong software developer.
Job Description


Hiring Institution: NIE
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Work life balance is definitely there."" (in 6 reviews)', '""Good and friendly colleagues who will help."" (in 5 reviews)', '""Good benefit and good colleagues."" (in 2 reviews)', -1, -1]","['""Toxic colleagues and environment"" (in 5 reviews)', '""No communication with management"" (in 4 reviews)', '""Poor Management"" (in 2 reviews)', -1, -1]",5001 to 10000 Employees,1991,College / University,Colleges & Universities,Education,$100 to $500 million (USD)
2,APPLICATIONS / SYSTEMS PROGRAMMER,"OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD
4.1",4.1,"Optimum Solutions (Registration Number: 199700895N) is Singapore's leading Information Technology , Consulting and Professional Services company with Competence in Digital Transformation, Automation, Robotics, Cloud, Big Data, Analytics and Emerging technologies projects. Optimum has been successfully delivering IT projects since 1997 and has been a key IT service provider to clients delivering Software Design, Development, Engineering and IT Transformation Projects.

APPLICATIONS / SYSTEMS PROGRAMMER

Key Job Duties:
Show More
Report",Employer Provided Salary:$7K - $11K,Singapore,3.9,3.8,3.9,3.8,4.0,"['""1. Timely salary on every 6th or 7th"" (in 23 reviews)', '""Medical Benefits good."" (in 6 reviews)', '""Account Manager, Karen was very helpful and prompt."" (in 6 reviews)', '""Giving you a good opportunity,"" (in 3 reviews)', '""People are so lovely and friendly here, from the moment you have an interview everyone is so kind and welcoming."" (in 4 reviews)']","['""1. Tried to scam me by including a penalty clause of 1 month salary ON TOP OF notice period required, if I resigned."" (in 23 reviews)', '""No professional growth and no benefits"" (in 6 reviews)', '""Not every Account Manager is the same."" (in 6 reviews)', -1, -1]",1001 to 5000 Employees,1997,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD)
3,Developer /Anlayst Programmer / Tester JR18792,"INFOGAIN SOLUTIONS PTE. LIMITED
2.4",2.4,"Find Your Dream Job With Us
WE ARE HIRING !! Apply now and make a difference.

Role: Developer (Credit Admin)
Job Title : Analyst Programmer/Tester
Job Requisition Number : JR18792
Job Level : 6 - 9 years of relevant experience (L3)
Location : Singapore














Show More
Report",Employer Provided Salary:$7K - $10K,Singapore,2.8,2.2,3.0,3.2,3.2,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
4,Intern – Front End Programmer,"AZENDIAN
2.8",2.8,"Intern – Front End Programmer
Intern, Full-Time
Singapore
What We Do Matters
Azendian Solutions is an Artificial Intelligence, data science solutions and operations technology start-up, contributing to smart city solutions with a current focus on Education and the Built Environment. We also have a thriving data science consulting and system integration practice. We are expanding into new markets and domains. If you enjoy working for a visionary in a fast, dynamic environment and have what it takes to succeed, join us in our transformation and growth story.
Job Responsibilities
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",51 to 200 Employees,2015,Company - Private,Colleges & Universities,Education,Unknown / Non-Applicable
5,Research Associate (Programmer for Adaptive Learning),"National University of Singapore
4.1",4.1,"Date: 12 Sep 2023
Location: COLLEGE OF DESIGN & ENG, Kent Ridge Campus, SG
Company: National University of Singapore
Job Description

The successful candidates will contribute to research activities related to evaluation and development of an online adaptive learning system for teaching project management skills to construction professionals. The candidates shall work under the supervision of the Principal Investigator (PI) to conduct programming, academic research and administrative work. Specific job activities may include:




Show More
Report",$42K - $65K (Glassdoor Est.),Singapore,3.6,3.5,3.8,3.6,3.9,"['""You will get a high salary"" (in 364 reviews)', '""Good work life balance and you get to manage your own progression"" (in 320 reviews)', '""Colleague are friendly and helpful."" (in 113 reviews)', '""Good benefits and welfare perks"" (in 150 reviews)', -1]","['""Low salary and hard to be promoted"" (in 364 reviews)', '""No work life balance."" (in 320 reviews)', '""Always have lazy colleagues."" (in 113 reviews)', '""No career progression for engineering and management track."" (in 225 reviews)', '""Can be low pay and benefits are mot really there"" (in 150 reviews)']",10000+ Employees,1905,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
6,Research Engineer (Programmer for Adaptive Learning),"National University of Singapore
4.1",4.1,"Date: 3 Sep 2023
Location: COLLEGE OF DESIGN & ENG, Kent Ridge Campus, SG
Company: National University of Singapore
Job Description

The successful candidates will contribute to research activities related to evaluation and development of an online adaptive learning system for teaching project management skills to construction professionals. The candidates shall work under the supervision of the Principal Investigator (PI) to conduct programming, academic research and administrative work. Specific job activities may include:






Show More
Report",$48K - $60K (Glassdoor Est.),Singapore,3.6,3.5,3.8,3.6,3.9,"['""You will get a high salary"" (in 364 reviews)', '""Good work life balance and you get to manage your own progression"" (in 320 reviews)', '""Colleague are friendly and helpful."" (in 113 reviews)', '""Good benefits and welfare perks"" (in 150 reviews)', -1]","['""Low salary and hard to be promoted"" (in 364 reviews)', '""No work life balance."" (in 320 reviews)', '""Always have lazy colleagues."" (in 113 reviews)', '""No career progression for engineering and management track."" (in 225 reviews)', '""Can be low pay and benefits are mot really there"" (in 150 reviews)']",10000+ Employees,1905,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
7,Analyst Programmer (Contract/Credit Administration),"TANGSPAC CONSULTING PTE LTD
4.2",4.2,"Position: Analyst Programmer
Domain: Banking & Finance – Credit Administration, Limits & Exposures, Collateral Management
Employment Type: 6 months Agency Contract (Highly Renewable)
Location: Alexandra

Responsibilities:
Gather and analyse users requirements and prepare/update Functional Specifications
Perform technical analysis and design and prepare/update System Technical Specifications
Implementing solutions that align with the organization's business objectives.





Show More
Report",Employer Provided Salary:$8K - $11K,Singapore,4.6,4.2,4.7,4.9,4.3,"['""Good benefit for this company"" (in 2 reviews)', '""recuiptment process was fast and easy"" (in 1 reviews)', -1, -1, -1]","['""always delay salary , When i left they hold my 2 months salary."" (in 3 reviews)', -1, -1, -1, -1]",201 to 500 Employees,1994,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD)
8,Applications/Systems Programmer (PostgreSQL/Sybase) – L2-2615,"ASPIRE NXT PTE. LTD.
2.9",2.9,"Job Detailed Description
The Programmer has a wide spectrum of responsibilities and actions. Person will be responsible for following (but not limited to) responsibilities in day-to-day work:
As the Programmer of the team, he/she:
act as the last level of escalation for the team members
own Incident, Problem and change management process for the team
assigns technical tasks and manages delegation
animates the team to encourage collaboration and sharing of practices
participates to recruitment process for the team


Show More
Report",Employer Provided Salary:$8K - $9K,Singapore,2.9,2.3,2.8,2.6,3.0,"['""Very good team members, very supportive....work environment is nice"" (in 1 reviews)', -1, -1, -1, -1]","['""No job security."" (in 2 reviews)', -1, -1, -1, -1]",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
9,Software Developer / IT Programmer,"Top Global Limited
4.5",4.5,"Responsibilities:
Develop and enhance products & software solutions, to meet the fast-changing market needs and expectations
Automate and streamline business processes through solutions development
Conduct solutions quality assurance testing based on given test plans
Provide technical support
Deep level analysis, troubleshooting and resolving technical issues in multiple application
Unit testing on programs developed or maintained
Requirements:
Minimum Diploma in Information Technology and/or Degree in Computer Science from recognized institution




Show More
Report",$36K - $108K (Glassdoor Est.),Singapore,3.5,4.0,4.0,3.5,4.0,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
