,Job Title,Company,Company Rating,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance,Company Pros Reviews,Company Cons Reviews
0,Information Technology Analyst (Banking - Fresh Graduates),"D L RESOURCES PTE LTD
3.3",3.3,Employer Provided Salary:$2K - $6K,Singapore,2.8,2.2,2.5,2.5,2.6,"['""Very responsible, able to ans to staff enquiry"" (in 2 reviews)', '""very good company very flexible"" (in 1 reviews)', -1, -1, -1]","['""Basic benefits is given by dl resources client"" (in 1 reviews)', -1, -1, -1, -1]"
1,"IT Support, Data & Analytics - Technology Consulting (1 year contract)","EY
3.9",3.9,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
2,Staff Analyst - Information Technology (B2B),"Infineon Technologies
4.2",4.2,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
3,IT Engineer,"SMCC OVERSEAS SINGAPORE PTE LTD
4.2",4.2,Employer Provided Salary:$4K - $4K,Bukit Merah Estate,4.0,3.9,3.7,3.3,3.1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
4,IT Support,FRONTIER FORCE TECHNOLOGY PTE LTD,-1,Employer Provided Salary:$3K - $4K,Singapore,2.5,2.2,2.7,2.7,2.7,"['No Pros have been reported by the Glassdoor community.', -1, -1, -1, -1]","['""Low salary compare to market, and very little increment."" (in 1 reviews)', '""No respect to employee Will make sure u will never forget that you owe them a lot by hiring you."" (in 1 reviews)', -1, -1, -1]"
5,Information Technology Engineer (IBM Mainframe/AS400 Operator),"D L RESOURCES PTE LTD
3.3",3.3,Employer Provided Salary:$3K - $6K,Singapore,2.8,2.2,2.5,2.5,2.6,"['""Very responsible, able to ans to staff enquiry"" (in 2 reviews)', '""very good company very flexible"" (in 1 reviews)', -1, -1, -1]","['""Basic benefits is given by dl resources client"" (in 1 reviews)', -1, -1, -1, -1]"
6,IT Support,Techbro Pte Ltd,-1,Employer Provided Salary:$2K - $5K,Jurong East New Town,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
7,IT Officer,"JMS Singapore Pte Ltd
2.7",2.7,Employer Provided Salary:$2K - $3K,Ang Mo Kio New Town,2.5,2.4,2.5,2.2,3.1,"['""Friendly colleague in the company"" (in 13 reviews)', '""Friendly management"" (in 10 reviews)', '""salary is payed on time every month,"" (in 11 reviews)', '""Good benefit."" (in 5 reviews)', -1]","['""Poor management."" (in 10 reviews)', '""bad career progression."" (in 11 reviews)', '""Salary is not very high"" (in 11 reviews)', -1, -1]"
8,Network Engineer,"Wipro Limited
2.8",2.8,$50K - $86K (Glassdoor Est.),Singapore,2.8,2.6,3.1,3.0,3.2,"['""good salary and culute to work"" (in 511 reviews)', '""good work life balance here"" (in 241 reviews)', '""Management is good and well centralised"" (in 227 reviews)', '""Wipro work culture is good for freshers and experienced candidates."" (in 233 reviews)', '""Good job Security"" (in 403 reviews)']","['""Salary is less but good"" (in 511 reviews)', '""Do not join this company because there\'s no work life balance especially india offices they don\'t care."" (in 241 reviews)', '""Poor management ."" (in 227 reviews)', '""Work culture is not good there!"" (in 233 reviews)', '""No job security provided here in wipro"" (in 403 reviews)']"
9,IT Desktop Support Engineer,"TELISTAR SOLUTIONS PTE. LTD.
3.6",3.6,Employer Provided Salary:$3K - $4K,Singapore,3.2,3.2,3.7,3.3,3.3,"['""Having to have a wonderful boss &amp; a good career advancement."" (in 3 reviews)', '""Colleagues are nice, that will help and teach you with your work."" (in 1 reviews)', -1, -1, -1]","['""Boss is stingy that only gave $4 red packets to junior staff during CNY, only after his company site being hacked once and being hospitalize then became a better person."" (in 3 reviews)', '""The salary &amp; bonus are low."" (in 1 reviews)', -1, -1, -1]"
