,Job Title,Company,Company Rating,Job Description,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance,Company Pros Reviews,Company Cons Reviews,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue
0,JUNIOR SOFTWARE ENGINEER,"Belden Inc.
3.9",3.9,"Belong. Believe. Be You. Belden.
Propel your career surrounded by a diverse team of innovative, goal-oriented individuals who are pursuing the next generation of connectivity solutions. At Belden, you’ll participate in work that will challenge you and position you to excel. You’ll collaborate with colleagues from around the world, gaining exposure to a broad base of expertise and perspectives.
Together, we’ll continue on a journey of innovation, creating a connected world and paving the way for automation. Join us and let’s build the future.

Job Summary:

We are actively searching for a talented and enthusiastic software engineering intern to spearhead the development of an efficient automated system tracker. This system will assist in our equipment loan tracking process, replacing primitive and labor-intensive paper-based methods, and ensuring seamless management of equipment lent to our internal colleagues and valued customers. This internship opportunity offers a unique chance to contribute to our organization's digital transformation journey.






Show More
Report",-1,Remote,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",5001 to 10000 Employees,1902,Unknown,$500 million to $1 billion (USD),-1,-1
1,Software Engineer - BCG X,"Boston Consulting Group
4.3",4.3,"Who We Are

BCG X is the tech build & design unit of BCG. Turbocharging BCG’s deep industry and functional expertise, BCG X brings together advanced tech knowledge and ambitious entrepreneurship to help organizations enable innovation at scale. With nearly 3,000 technologists, scientists, programmers, engineers, and human-centered designers located across 80+ cities, BCG X builds and designs platforms and software to address the world’s most important challenges and opportunities. Teaming across our practices, and in close collaboration with our clients, our end-to-end global team unlocks new possibilities. Together we’re creating the bold and disruptive products, services, and businesses of tomorrow.

To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.


Our BCG X teams own the full analytics value-chain end to end: framing new business challenges, designing innovative algorithms, implementing, and deploying scalable solutions, and enabling colleagues and clients to fully embrace AI. Our product offerings span from fully custom-builds to industry specific leading edge AI software solutions.













Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Great benefits Great teams work/life balance"" (in 27 reviews)', '""2. Benefits are good."" (in 19 reviews)', '""good salaries for all employees"" (in 21 reviews)', '""Employee friendly"" (in 16 reviews)', -1]","['""bad work life balance though"" (in 27 reviews)', '""long working hours and no additional benefits of working long."" (in 19 reviews)', '""Could do better on the salaries"" (in 21 reviews)', '""Smart employees"" (in 16 reviews)', '""All managers who are 6+ years with BCG are uncles/aunties who are trying to be hip."" (in 8 reviews)']",10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
2,FrontEnd Developer,"GECO Asia
3.9",3.9,"Requirements:
Proven experience as a Frontend Developer or similar role.
5-10 years of experience
Strong proficiency in Vue.js, HTML, CSS, and JavaScript.
Experience with Node.js for server-side rendering and backend integration.
Solid understanding of web development principles.
Familiarity with RESTful APIs and asynchronous request handling.
Experience with version control systems (e.g., Git).
Knowledge of cross-browser compatibility and responsive design.
Show More
Report",$45K - $80K (Glassdoor Est.),Jurong West New Town,4.2,3.5,4.0,3.8,4.3,"['""also good coaching to start you off"" (in 5 reviews)', -1, -1, -1, -1]","['""The benefits are not implemented effectively."" (in 1 reviews)', -1, -1, -1, -1]",51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
3,Software Engineer Intern (SG-Edge) (2024 Intake),"Dell Technologies
4.2",4.2,"Dell Technologies is seeking versatile and enthusiastic Software Engineer Interns to drive the vision and execution of Dell Enterprise Edge Initiative. If you are passionate about how edge is revolutionizing the future infrastructure and would like to be part of a team pushing the frontiers of edge computing, come join us and make an impact.
Join us to do the best work of your career and make a profound social impact as a Software Engineer Intern on our Software Engineering Team in Singapore.

What you’ll achieve
As an Software Engineer Intern, you will Design, Develop, Deploy and Maintain software solutions that contribute to the next generation Edge Technology and Develop distributed, scalable and real-time low-latency solutions in an agile delivery method













R229205





Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Good work life balance and company and the company truly cares about the well being of its employees."" (in 1061 reviews)', '""Good company and salary."" (in 727 reviews)', '""Good benefit and flexibile work environment"" (in 374 reviews)', '""Good work culture and peers"" (in 584 reviews)', '""Management is good"" (in 314 reviews)']","['""No work life balance here"" (in 1061 reviews)', '""Less salary and senior faculty are unreliable."" (in 727 reviews)', '""Less benefits compared to other orgs"" (in 374 reviews)', '""Bad work culture."" (in 584 reviews)', '""Too conservative, no new blood, poor management"" (in 314 reviews)']",10000+ Employees,1984,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
4,"Curriculum Developer & Educator, English Curriculum",Wonderlit Education Centre Pte Ltd,-1,"Wonderlit is seeking a creative and talented individual with a strong foundation in English and a flair for designing educational materials to join its journey to inspire, nurture and create a love for the English Language in children.
Roles & Responsibilities
Research, source, plan and develop high quality curriculum for English curriculum in line with MOE syllabus and Wonderlit’s teaching pedagogies and requirements.
Plan and prepare weekly lesson plans which include teaching materials and audio-visual aids that aid effective teaching and facilitate active learning.
Coordinate review and feedback on the curriculum and update lessons on a continuous basis to meet teaching objectives.
Develop and conduct training programmes for teachers implementing the curriculum.
Show More
Report",Employer Provided Salary:$4K - $5K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
5,"Frontend Software Engineer, TikTok e-Commerce","TikTok
3.5",3.5,"Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

Why Join Us
Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible.
Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day.
To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always.
At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve.
Join us.

The e-Commerce industry has seen tremendous growth in recent years and has become a hotly contested space amongst leading Internet companies, and its future growth cannot be underestimated. With millions of loyal users globally, we believe TikTok is an ideal platform to deliver a brand new and better e-Commerce experience to our users.

Our product engineering team is responsible for building an e-Commerce ecosystem that is innovative, secure and intuitive for our users. We are looking for passionate and talented people to join us as we drive the future of e-Commerce here at TikTok.


Qualifications
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
6,Full-Stack Software Engineer,"Tesla
3.6",3.6,"What to Expect
Full-stack Software Engineer

Tesla Electronics Test and Automation Group (ETAG) is the main point of contact to ensure the highest quality vehicle, silicon and robotics electronics for our customers. Our mission is to develop test automation equipment, architect software automation framework, and provide hardware/software/data infrastructure for Tesla electronics communities worldwide.

We are seeking a highly motivated and experienced Full-Stack Engineer with experience in DevOps and Data Engineering to join our Low Voltage Software team. As a member of our team, you will be responsible for developing software frameworks for internal customers to communicate with and validate microcontrollers and other embedded systems.

The ideal candidate will be a hands-on problem solver with excellent analytical and organizational skills, who thrives in an environment that encourages and rewards superior work. You should be passionate about innovation and developing new skills, and excited to take on the challenge of contributing to the next generation of engineering tools and systems.
What You’ll Do
What You’ll Bring
Show More
Report",$95K - $118K (Glassdoor Est.),Toa Payoh New Town,3.7,3.7,3.3,3.1,2.9,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD)
7,"Software Engineer, Backend","Google
4.4",4.4,"Google will be prioritizing applicants who have a current right to work in Singapore, and do not require Google's sponsorship of a visa.
Minimum qualifications:
Bachelor's degree in Computer Science, a related technical field, or equivalent practical experience.
1 year of experience with backend development.
Experience in software development in one or more of these programming languages. (Java, C/C++, Python, JavaScript, TypeScript, or Go).








Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Good fine and the work life balance is good"" (in 1284 reviews)', '""People are great and nice"" (in 1575 reviews)', '""good benefits and but this isn\'t as important now that we\'re not in the office"" (in 1145 reviews)', '""The base salary was good and they are very accepting of candidates with potential"" (in 1689 reviews)', '""Good work teams and culture"" (in 1426 reviews)']","['""Bad work life balance at google"" (in 1284 reviews)', '""Mostly people are rude and disgusting."" (in 1575 reviews)', '""Great benefits in a good location"" (in 1145 reviews)', '""they pay good salary and most of my team was so cooperative"" (in 1689 reviews)', '""Google has bad culture in the organization"" (in 1426 reviews)']",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
8,"Backend Software Engineer, Server Arch - 2024 Start","TikTok
3.5",3.5,"Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

We are looking for talented individuals to join us for this future position in 2024. As a graduate, you will get unparalleled opportunities for you to kickstart your career, pursue bold ideas and explore limitless growth opportunities. Co-create a future driven by your inspiration with TikTok.

Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to all TikTok/ByteDance jobs globally. Applications will be reviewed on a rolling basis - we encourage you to apply early.

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

This position is with TikTok's Stability Assurance Team. The team is responsible for ensuring that the services provided by TikTok are highly reliable with low-latency. Reliability assurance is complex and systematic, for any massive application system. We focus on optimizing the application architecture from end to end, driven by data analysis and aim at automatic and intelligent failure recovery.

Responsibilities
Qualifications
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.

By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy.

If you have any questions, please reach out to us at apac-earlycareers@tiktok.com.
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
9,Software Engineer (Fusion Poly Graduate Programme),"NCS
3.6",3.6,"WILL YOU BE PART OF THE EXTRAORDINARY?
We're guided by our vision of advancing communities, and bringing people and technology together to make the extraordinary happen. NCS creates end-to-end technology solutions and services clients with its Next capabilities of digital, cloud, platforms as well as core offerings in Applications, Infrastructure, Engineering and Cyber Security, working on projects that impact millions every day. With our passion to innovate, you can tell that we're more than ready to meet the future. Join us and be part of this extraordinary journey too.
YOUR ROLE IS ONLY THE BEGINNING!
At NCS, we pride ourselves on empowering our people and talent to their fullest potential. Learning together in our NCS DOJO, we have comprehensive, built-in training and industry standard qualifications that will allow you to up-skill and re-skill as we grow together.
Show More
Report",$58K - $62K (Glassdoor Est.),Singapore,3.5,3.3,3.4,3.3,3.2,"['""Good work life balance in ncs"" (in 129 reviews)', '""Competitive salary and benefits."" (in 140 reviews)', '""good benefits for Perm employees"" (in 53 reviews)', '""Management Good to the staffs"" (in 77 reviews)', '""Very helpful and friendly colleagues"" (in 94 reviews)']","['""No work life balance in the projects"" (in 129 reviews)', '""Low salary and bonus Have to OT some days 3 days WIO"" (in 140 reviews)', '""No benefit or welfare."" (in 53 reviews)', '""Bad management and no hike"" (in 77 reviews)', '""colleague are all very friendly"" (in 94 reviews)']",10000+ Employees,1981,Company - Private,Information Technology Support Services,Information Technology,$2 to $5 billion (USD)
