,Job Title,Job Description,Salary Range,Minimum Qualification,Certification/License,Outlook,Personality Traits,Career Ladder
0,['Software Designers'],"['Software designers, also known as software developers, create new ideas and design prepackaged and customized computer software. Systems software designers create systems software such as computer operating systems, proprietary computer systems for businesses and other organizations, and operating systems that control consumer electronics in cars, big-box appliances, and smartphones. These systems make it possible for computers to complete given tasks and to solve problems. Software applications designers create word processing programs, video games, front-end database programs, and spreadsheet programs. Once a need in the market has been identified, software designers first conceive of the program on a global level by outlining what the program will do. Then they write the specifications from which programmers code computer commands to perform the given functions. There are nearly 1.5 million software developers and programmers employed in the United States. Computer systems design jobs employed 33 percent of them as of May 2019. Software publishers, finance and insurance business, and manufacturers, and management firms employed another 29 percent.']","$50,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Creative', 'Problem-Solving', 'Scientific']","['Computer Programmer', 'Software Designer', 'Project Team Leader', 'Software Manager']"
1,['Information Security Analysts'],"['Information security analysts protect an organization’s computer systems and networks from unauthorized intrusion by cyber attacks. These intruders are known as hackers, and the action of breaking into a computer system or network is called hacking. Approximately 112,300 information security analysts are employed in the United States. They are also known as computer security specialists, database security specialists, and network security analysts.']","$50,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Hands On', 'Problem-Solving', 'Technical']","['Technical Support Specialist', 'Computer Engineer or Systems or Database Administrator', 'Information Security Analyst', 'Information Security Manager', 'Chief Information Security Officer ']"
2,['Computer Systems Programmer/Analysts'],"['Computer systems programmer/analysts analyze the computing needs of a business or organization and then design a new system or upgrade an old system to meet those needs. The position can be split between two people, the systems programmer and the systems analyst, but it is frequently held by just one person, who oversees the work from beginning to end. In this instance, these professionals may also be known as information technology project managers. Approximately 633,900 computer systems analysts are employed in the United States.']","$50,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Conventional', 'Problem-Solving', 'Technical']","['Programmer, or Software Engineering Technician, or Database Administrator', 'Computer Systems Programmer/Analyst', 'Project Manager', 'Information Technology Director or Chief Technology Officer ']"
3,['Site Reliability Engineers'],"['Site reliability engineers (SREs) are computer professionals who have knowledge and experience in software engineering, system administration, and information technology (IT) infrastructure and operations. They use these skills to make sure that apps, Web sites, and IT systems and infrastructure operate without error and are repaired quickly when they malfunction, as well as develop ways to automate system administration and management tasks.']","$75,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Hands On', 'Problem-Solving', 'Technical']","['Site Reliability Engineering Technician', 'Site Reliability Engineer', 'Director of Software Engineering/Development', 'Chief Technology Officer']"
4,['Software Engineers'],"['Software engineers create or customize existing software programs to meet the needs of a particular business or industry. First, they spend considerable time researching, defining, and analyzing the problem at hand. Then, they develop software programs to resolve the problem on the computer. They may also create software applications that are used for informational purposes or entertainment. There are nearly 1.5 million software designers and developers, which includes software engineers, employed in the United States.']","$50,000 to $100,000",Bachelor's Degree,Recommended,Much Faster than the Average,"['Hands On', 'Problem-Solving', 'Technical']","['Software Engineering Technician', 'Software Engineer  ', 'Software Project Team Leader ', 'Software Manager, or Chief Information Officer, or Systems Designer  ']"
5,['Data Scientists'],"['Data scientists use scientific principles to study large amounts of data. They use algorithms and machine learning to extract valuable intelligence from data to help business executives make better decisions, reach more customers, or provide better services. Data scientists are also employed by nonprofit organizations and government agencies. They may also be known as analytics scientists. Mathematicians and statisticians often perform many of the same duties as data scientists, and, in some circles, they are also considered data scientists.']","$100,000+",Master's Degree,Recommended,Much Faster than the Average,"['Curious', 'Problem-Solving', 'Technical']","['Data Analyst', 'Data Scientist ', 'Team Leader', 'Chief Data Officer or Consulting Firm Owner ']"
6,['Machine Learning Engineers'],"['Artificial intelligence is technology that can be programmed to perform tasks and functions in an “intelligent” manner that mimics and learns from human decision-making processes. It is used in a wide range of fields, including banking, transportation, health care, agriculture, security, human resources, astronomy, shipping, accounting, and the military. Artificial intelligence (AI) is typically added to existing products, and not sold as an individual application. Machine learning (ML) is both a form of AI and a method of data analysis that is used to help computers study data, identify patterns or other strategic goals, and make decisions with minimal or no intervention from humans. In ML, computers are taught to learn and act on their own. Machine learning engineers (MLEs) develop algorithms [sets of instructions that allow a computer to perform a specific task or group of tasks] that allow computer programs to learn and automatically improve their performance as they acquire more experience completing a certain task. Then they build and maintain scalable machine-learning solutions, monitor the process to ensure that the software works correctly and logically, and develop processes and tools to monitor and assess model performance and data accuracy.']","$75,000 to $100,000+",Bachelor's Degree,Recommended,-1,"['Problem-Solving', 'Technical', 'Curious']","['Machine Learning Engineer', 'Project Manager', 'Director of AI ', 'Chief Technology Officer', 'Consulting Firm or Software Development Company Owner']"
7,['Information Technology Project Managers'],"['Information technology (IT) project managers plan and oversee technology-related projects such as the installation of computer software or the upgrade of entire IT systems. They are also known as computer and information systems managers and IT managers. Approximately 414,400 computer and information systems managers are employed in the United States. ']","$50,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Hands On', 'Problem-Solving', 'Technical']","['Information Technology Project Manager', 'Chief Technology Officer', 'Chief Information Officer', 'Top Executive or Consulting Business Owner']"
8,['Agile Coaches or Trainers'],"['The Agile methodology is an iterative approach to project management in software development and in other fields. Some of its main components are the use of collaborative, cross-functional teams; an emphasis on short and focused work increments (known as sprints) during which a team works to complete an agreed-upon amount of work; an openness to regular self-evaluation and improvement by team members; a preference for face-to-face communication between team members and stakeholders; a preference for simple solutions over complex ones, when possible; and the granting of significant independence to team members, who are trusted to get the job done. Agile coaches teach and train corporate teams about the Agile methodology. They monitor the integration process and provide suggestions to improve it. Agile coaches, who are also known as Agile trainers, also work with non-technology companies.']","$75,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Hands On', 'Problem-Solving', 'Outgoing']","['Scrum Master', 'Agile Coach ', 'Manager or Executive', 'Consulting Firm Owner or Professor ']"
9,['Artificial Intelligence Specialists'],"['Artificial intelligence is technology that can be programmed to perform functions and tasks in a “smart” manner that mimics and learns from human decision-making processes. It is used in a wide range of fields, including banking, transportation, astronomy, shipping, accounting, health care, agriculture, security, human resources, and the military. Artificial intelligence is typically added to existing products, and not sold as an individual application. Artificial intelligence specialists are computer engineers and scientists, data scientists, programmers, software developers, and others who design, test, develop, and implement AI technologies in a variety of applications.']","$50,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Problem-Solving', 'Scientific', 'Technical']","['Data Analyst', 'AI Scientist, Engineer, or Developer', 'Director of AI ', 'AI Business Owner or Professor']"
